New best length: 25245.6281 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.2, 'q': 28.29121184469909}, avg=25382.4937 and median=25383.2672
New best length: 25239.4440 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.25, 'q': 28.29121184469909}, avg=25429.8219 and median=25425.8315
New best length: 25216.6828 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.275, 'q': 28.29121184469909}, avg=25407.2892 and median=25354.8072
New best length: 25378.7182 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.275, 'q': 5.143856699036198}, avg=25481.1168 and median=25451.1600
New best length: 25142.0306 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.275, 'q': 16.717534271867645}, avg=25409.4191 and median=25373.9020
New best length: 24991.5207 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.275, 'q': 28.29121184469909}, avg=25385.0472 and median=25423.9488
New best length: 25647.2770 with params: {'alpha': 0.5, 'beta': 3.0, 'rho': 0.275, 'q': 39.86488941753054}, avg=25781.4855 and median=25782.6457
New best length: 25416.0605 with params: {'alpha': 0.875, 'beta': 3.0, 'rho': 0.275, 'q': 39.86488941753054}, avg=25637.7023 and median=25684.2766
New best length: 25314.0738 with params: {'alpha': 1.25, 'beta': 3.0, 'rho': 0.275, 'q': 39.86488941753054}, avg=25520.3764 and median=25552.7774
New best length: 25222.7234 with params: {'alpha': 1.625, 'beta': 3.0, 'rho': 0.275, 'q': 39.86488941753054}, avg=25428.2148 and median=25431.8716
New best length: 25685.2764 with params: {'alpha': 2.0, 'beta': 1.0, 'rho': 0.275, 'q': 39.86488941753054}, avg=25931.5902 and median=25933.3061
New best length: 25612.1123 with params: {'alpha': 2.0, 'beta': 1.5, 'rho': 0.275, 'q': 39.86488941753054}, avg=25833.4982 and median=25808.4646
New best length: 25459.0281 with params: {'alpha': 2.0, 'beta': 2.0, 'rho': 0.275, 'q': 39.86488941753054}, avg=25663.7559 and median=25671.7703
New best length: 25368.8465 with params: {'alpha': 2.0, 'beta': 2.5, 'rho': 0.275, 'q': 39.86488941753054}, avg=25492.3259 and median=25460.0218
New best length: 25261.2463 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.275, 'q': 39.86488941753054}, avg=25475.3565 and median=25504.9799
Cycle 3: params={'alpha': 2.0, 'beta': 3.0, 'rho': 0.275, 'q': 39.86488941753054}, best_avg=25323.2870, best_median=25268.3192
New best length: 25300.2453 with params: {'alpha': 2.0, 'beta': 2.5, 'rho': 0.2, 'q': 39.86488941753054}, avg=25501.5117 and median=25483.7983
New best length: 25284.9875 with params: {'alpha': 2.0, 'beta': 2.5, 'rho': 0.25, 'q': 39.86488941753054}, avg=25577.0015 and median=25598.0914
New best length: 25753.2367 with params: {'alpha': 0.5, 'beta': 2.5, 'rho': 0.2, 'q': 39.86488941753054}, avg=25922.0298 and median=25929.7849
New best length: 25594.8164 with params: {'alpha': 0.875, 'beta': 2.5, 'rho': 0.2, 'q': 39.86488941753054}, avg=25736.7219 and median=25730.7886
New best length: 25573.0297 with params: {'alpha': 1.25, 'beta': 2.5, 'rho': 0.2, 'q': 39.86488941753054}, avg=25712.5738 and median=25709.3092
New best length: 25393.8309 with params: {'alpha': 1.625, 'beta': 2.5, 'rho': 0.2, 'q': 39.86488941753054}, avg=25614.9737 and median=25596.3081
New best length: 25378.9700 with params: {'alpha': 2.0, 'beta': 2.5, 'rho': 0.2, 'q': 39.86488941753054}, avg=25517.9927 and median=25513.8121
New best length: 25393.9633 with params: {'alpha': 2.0, 'beta': 2.5, 'rho': 0.2, 'q': 5.143856699036198}, avg=25546.8239 and median=25557.7825
New best length: 25318.9560 with params: {'alpha': 2.0, 'beta': 2.5, 'rho': 0.2, 'q': 16.717534271867645}, avg=25527.5501 and median=25547.1347
New best length: 25307.3939 with params: {'alpha': 2.0, 'beta': 2.5, 'rho': 0.2, 'q': 28.29121184469909}, avg=25512.9190 and median=25533.9654
New best length: 25253.5290 with params: {'alpha': 2.0, 'beta': 2.5, 'rho': 0.2, 'q': 39.86488941753054}, avg=25472.0982 and median=25498.3934
New best length: 25197.7957 with params: {'alpha': 2.0, 'beta': 2.5, 'rho': 0.2, 'q': 51.438566990361984}, avg=25506.1999 and median=25548.8347
New best length: 25812.3372 with params: {'alpha': 2.0, 'beta': 1.0, 'rho': 0.2, 'q': 39.86488941753054}, avg=25991.2578 and median=25992.8027
New best length: 25565.2299 with params: {'alpha': 2.0, 'beta': 1.5, 'rho': 0.2, 'q': 39.86488941753054}, avg=25814.5067 and median=25815.0291
New best length: 25508.7781 with params: {'alpha': 2.0, 'beta': 2.0, 'rho': 0.2, 'q': 39.86488941753054}, avg=25681.6562 and median=25697.4972
New best length: 25317.6261 with params: {'alpha': 2.0, 'beta': 2.5, 'rho': 0.2, 'q': 39.86488941753054}, avg=25475.8095 and median=25471.7254
New best length: 25232.8603 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.2, 'q': 39.86488941753054}, avg=25454.2539 and median=25457.6253
